filename,xmin,ymin,xmax,ymax,score
aerial_image_00000002B2.png,176,184,29,19,0.70979
aerial_image_00000031Q1.png,362,167,19,19,0.38631
aerial_image_00000031F5.png,212,232,13,24,0.53179
aerial_image_00000031F5.png,225,256,9,27,0.24523
aerial_image_00000031B1.png,290,176,15,21,0.79588
aerial_image_00000030Q2.png,157,353,11,23,0.48008
aerial_image_00000030Q1.png,267,137,41,33,0.63623
aerial_image_00000028Z1.png,341,253,24,19,0.61062
aerial_image_00000028P1.png,293,371,13,15,0.61939
aerial_image_00000028J4.png,200,240,11,12,0.55119
aerial_image_00000028J1.png,188,98,12,19,0.78614
aerial_image_00000028H7.png,189,269,17,10,0.66446
aerial_image_00000027P1.png,284,149,50,20,0.44352
aerial_image_00000026M2.png,139,153,21,12,0.76078
aerial_image_00000026B2.png,201,295,45,20,0.40864
aerial_image_00000026B1.png,286,225,17,14,0.42552
aerial_image_00000025H6.png,246,349,9,8,0.55338
aerial_image_00000025B2.png,79,279,28,14,0.35322
aerial_image_00000025B2.png,112,290,15,16,0.35088
aerial_image_00000025B2.png,340,322,33,33,0.2749
aerial_image_00000020Q2.png,235,137,29,25,0.76394
aerial_image_00000021M1.png,252,240,19,18,0.26761
aerial_image_00000021P1.png,358,301,22,12,0.73739
aerial_image_00000021X1.png,310,312,20,23,0.66983
aerial_image_00000022B1.png,166,245,28,30,0.40724
aerial_image_00000022B1.png,174,241,22,32,0.38998
aerial_image_00000022P1.png,161,309,10,10,0.37037
aerial_image_00000031Q2.png,346,298,14,18,0.75469
aerial_image_00000022Z1.png,209,223,23,16,0.6304
aerial_image_00000023B3.png,420,186,13,16,0.6922
aerial_image_00000023M2.png,344,181,23,42,0.71758
aerial_image_00000023M2.png,160,216,16,29,0.71432
aerial_image_00000023M2.png,361,281,13,15,0.34544
aerial_image_00000024M1.png,310,299,25,43,0.71669
aerial_image_00000024M1.png,467,404,17,22,0.24945
aerial_image_00000024M1.png,455,403,10,12,0.23053
aerial_image_00000025B1.png,307,188,12,22,0.74119
aerial_image_00000023B1.png,339,36,15,14,0.43919
aerial_image_00000023B1.png,185,344,31,27,0.36891
aerial_image_00000020M2.png,180,202,22,21,0.57358
aerial_image_00000032B2.png,223,161,10,17,0.45177
aerial_image_00000033Q1.png,306,227,21,20,0.35169
aerial_image_00000046Z1.png,122,320,29,27,0.68464
aerial_image_00000046Z1.png,394,353,12,10,0.50799
aerial_image_00000046H6.png,291,365,17,10,0.36272
aerial_image_00000045W1.png,128,216,8,13,0.5276
aerial_image_00000045M1.png,234,277,22,12,0.73851
aerial_image_00000044H1.png,361,319,19,18,0.74379
aerial_image_00000044H1.png,334,455,20,18,0.3491
aerial_image_00000043Q1.png,141,74,14,17,0.54088
aerial_image_00000043B1.png,77,375,15,18,0.24028
aerial_image_00000043B1.png,280,234,10,12,0.22595
aerial_image_00000042Q2.png,299,240,19,11,0.54709
aerial_image_00000042Q2.png,131,356,13,11,0.51859
aerial_image_00000042J4.png,171,292,10,20,0.69268
aerial_image_00000042J1.png,281,270,13,10,0.41216
aerial_image_00000042B2.png,268,195,27,14,0.75666
aerial_image_00000042B2.png,438,304,12,13,0.24493
aerial_image_00000042B1.png,176,159,14,14,0.3206
aerial_image_00000042B1.png,205,219,9,15,0.21913
aerial_image_00000041V1.png,363,161,21,19,0.55099
aerial_image_00000041Q2.png,365,149,20,9,0.40833
aerial_image_00000041H7.png,348,130,23,16,0.68829
aerial_image_00000040Z1.png,355,239,50,25,0.63498
aerial_image_00000040Z1.png,364,238,36,23,0.55136
aerial_image_00000033Q2.png,127,127,23,22,0.69174
aerial_image_00000033Q2.png,100,153,32,42,0.25272
aerial_image_00000034J5.png,134,291,20,11,0.66074
aerial_image_00000034Q1.png,292,273,13,20,0.76084
aerial_image_00000034Q1.png,115,228,13,11,0.64568
aerial_image_00000035J4.png,174,235,27,10,0.66335
aerial_image_00000035Q1.png,316,74,11,17,0.67496
aerial_image_00000035T3.png,310,243,17,16,0.82031
aerial_image_00000032Q1.png,284,292,40,46,0.45071
aerial_image_00000037H7.png,201,212,27,15,0.82513
aerial_image_00000037Q1.png,225,249,17,28,0.66544
aerial_image_00000038B2.png,359,351,24,12,0.69513
aerial_image_00000038B2.png,194,275,11,18,0.26546
aerial_image_00000038B2.png,190,288,18,19,0.21448
aerial_image_00000038P1.png,118,258,26,24,0.74363
aerial_image_00000038Q1.png,176,318,22,23,0.67601
aerial_image_00000039H6.png,288,162,12,10,0.37017
aerial_image_00000040J4.png,167,456,14,21,0.21092
aerial_image_00000037P1.png,200,299,27,17,0.76859
aerial_image_00000037P1.png,187,394,27,22,0.36266
aerial_image_00000047M1.png,70,65,22,19,0.407
aerial_image_00000020B1.png,332,313,35,37,0.27813
aerial_image_00000019Q2.png,189,159,16,22,0.46862
aerial_image_00000011B2.png,269,207,12,20,0.38852
aerial_image_00000010Q1.png,175,314,23,35,0.69182
aerial_image_00000010Q1.png,419,170,18,23,0.43636
aerial_image_00000010M1.png,289,128,22,30,0.71332
aerial_image_00000010G1.png,307,312,25,35,0.70679
aerial_image_00000009T3.png,236,297,9,15,0.59856
aerial_image_00000009Q1.png,299,355,39,31,0.58584
aerial_image_00000009M1.png,132,245,39,22,0.74337
aerial_image_00000009H6.png,318,276,15,10,0.51318
aerial_image_00000009H6.png,371,332,10,14,0.44429
aerial_image_00000009H6.png,355,183,12,22,0.43737
aerial_image_00000008X1.png,319,232,24,12,0.69112
aerial_image_00000008X1.png,292,361,15,28,0.53945
aerial_image_00000008Q1.png,361,219,36,51,0.65202
aerial_image_00000008Q1.png,88,268,11,22,0.49214
aerial_image_00000007T3.png,330,198,13,19,0.63675
aerial_image_00000007J4.png,141,293,26,35,0.79571
aerial_image_00000007J4.png,224,356,14,13,0.5813
aerial_image_00000007J4.png,158,364,14,17,0.49661
aerial_image_00000007H6.png,282,211,33,19,0.78659
aerial_image_00000006M1.png,188,360,15,17,0.69272
aerial_image_00000006B3.png,374,134,10,26,0.26303
aerial_image_00000005Q1.png,260,206,15,26,0.55237
aerial_image_00000005Q1.png,235,125,14,17,0.48422
aerial_image_00000005Q1.png,132,442,11,24,0.24727
aerial_image_00000002B3.png,248,110,28,43,0.60685
aerial_image_00000002P1.png,109,385,28,11,0.71385
aerial_image_00000002Q2.png,161,154,25,49,0.46468
aerial_image_00000003B1.png,267,138,16,30,0.75832
aerial_image_00000003M1.png,282,225,33,28,0.59757
aerial_image_00000003Q1.png,301,303,14,16,0.58001
aerial_image_00000011H6.png,321,327,25,11,0.63886
aerial_image_00000003T3.png,319,230,27,44,0.47427
aerial_image_00000003T3.png,429,282,11,17,0.25078
